player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
ZywOo,0.951219512,0.186046512,0.922580645,0.887850467,0.791322314,0.888888889,0.540604717,0.343570058,0.383631319,0.886956522,0.791322314,0.133333333,0.188405797,0.48267535,0.3125,0.388888889,0.666666667,0.534691897,0.841654779,0.509803922,0.249814126,0.700483092,0.790123457,0.71,0.564564565,0.41772411,0.499431603,0.532877882,0.539845758,0.523255814,0.571428571,0.273450245,0.416398243,0.109546166,0.560874089,0.480769231,0.072072072,0.721333333,0.834,0.606060606,1.0,0.538461538,0.538461538,0.444444444,0.538461538,0.0,0.0
s1mple,0.926829268,0.23255814,0.84516129,0.906542056,0.80785124,0.944444444,0.480607883,0.351247601,0.344636252,0.869565217,0.80785124,0.106666667,0.161835749,0.416578424,0.25,0.444444444,0.611111111,0.477923338,0.781740371,0.464349376,0.249814126,0.628019324,0.802469136,0.766,0.603603604,0.346295538,0.448654793,0.472245944,0.496143959,0.430232558,0.285714286,0.237357259,0.385065886,0.117370892,0.452653486,0.326923077,0.216216216,0.829333333,0.83,1.0,0.928571489,0.435897436,0.435897436,0.288888889,0.461538462,0.4,0.0
sh1ro,0.963414634,0.023255814,0.964516129,0.813084112,0.731404959,0.87037037,0.398765237,0.153550864,0.25647349,1.0,0.731404959,0.133333333,0.143719807,0.362839243,0.25,0.388888889,0.555555556,0.402231926,0.807893485,0.323529412,0.12267658,0.937198068,0.716049383,0.786,0.489489489,0.313139582,0.386510042,0.391972673,0.362467866,0.418604651,0.214285714,0.137030995,0.398535871,0.13771518,0.383975026,0.307692308,0.198198198,0.877333333,0.875,0.939393939,0.880952482,0.384615385,0.384615385,0.466666667,0.307692308,0.6,0.0
deko,0.87804878,0.186046512,0.832258065,0.775700935,0.762396694,0.851851852,0.588570524,0.303262956,0.432336621,0.843478261,0.762396694,0.166666667,0.206521739,0.538341885,0.375,0.444444444,0.555555556,0.594614265,0.835473134,0.450980392,0.220817844,0.700483092,0.654320988,0.759,0.471471471,0.46766271,0.566502463,0.596071734,0.542416452,0.523255814,0.214285714,0.25591354,0.509516837,0.150234742,0.607700312,0.413461538,0.144144144,0.768,0.75,0.333333333,0.833333475,0.653846154,0.653846154,0.355555556,0.846153846,0.2,0.0
m0NESY,0.829268293,0.186046512,0.838709677,0.757009346,0.611570248,0.777777778,0.430900744,0.270633397,0.330147965,0.791304348,0.611570248,0.086666667,0.163043478,0.416238303,0.125,0.444444444,0.555555556,0.443716642,0.677127913,0.418003565,0.192565056,0.753623188,0.765432099,0.768,0.546546547,0.374539501,0.437665782,0.423569599,0.36503856,0.406976744,0.142857143,0.141721044,0.467642753,0.043818466,0.403746098,0.192307692,0.108108108,0.784,0.728,0.272727273,0.809523972,0.333333333,0.333333333,0.4,0.384615385,0.6,0.0
smooya,0.890243902,0.279069767,0.829032258,0.85046729,0.79338843,0.888888889,0.471268007,0.186180422,0.358353884,0.8,0.79338843,0.106666667,0.164251208,0.421566871,0.3125,0.444444444,0.611111111,0.46797671,0.711364717,0.415329768,0.221561338,0.632850242,0.728395062,0.724,0.543543544,0.363692182,0.43160288,0.490179334,0.460154242,0.418604651,0.142857143,0.21451876,0.398535871,0.089201878,0.511966701,0.201923077,0.054054054,0.681333333,0.752,0.363636364,0.785714184,0.307692308,0.307692308,0.444444444,0.461538462,0.4,0.0
w0nderful,0.829268293,0.139534884,0.906451613,0.644859813,0.640495868,0.759259259,0.251543454,0.203454894,0.189272503,0.808695652,0.640495868,0.123333333,0.096618357,0.249238695,0.1875,0.5,0.611111111,0.269771955,0.572990965,0.197860963,0.085501859,0.806763285,0.641975309,0.717,0.426426426,0.219811707,0.28154604,0.243381725,0.172236504,0.162790698,0.285714286,0.088295269,0.256515373,0.040688576,0.25182102,0.192307692,0.045045045,0.708,0.765,0.515151515,0.785714184,0.230769231,0.230769231,0.155555556,0.230769231,0.0,0.0
degster,0.853658537,0.162790698,0.877419355,0.728971963,0.671487603,0.814814815,0.439607409,0.280230326,0.323982737,0.834782609,0.671487603,0.076666667,0.163043478,0.415217938,0.125,0.444444444,0.555555556,0.454391072,0.722301474,0.395721925,0.173977695,0.792270531,0.740740741,0.735,0.507507508,0.363692182,0.45585449,0.40734415,0.40874036,0.360465116,0.285714286,0.194535073,0.42079063,0.018779343,0.364203954,0.259615385,0.18018018,0.784,0.765,0.545454545,0.785714184,0.307692308,0.307692308,0.311111111,0.076923077,0.2,0.0
kaze,0.817073171,0.11627907,0.858064516,0.700934579,0.597107438,0.740740741,0.288744657,0.209213052,0.215782984,0.817391304,0.597107438,0.11,0.115942029,0.288012535,0.1875,0.5,0.555555556,0.298398836,0.602948169,0.245989305,0.115241636,0.739130435,0.666666667,0.805,0.483483483,0.265656979,0.299734748,0.266438941,0.275064267,0.186046512,0.357142857,0.106443719,0.289604685,0.050078247,0.280957336,0.163461538,0.099099099,0.838666667,0.711,0.333333333,0.761904681,0.256410256,0.256410256,0.422222222,0.307692308,0.0,0.0
XANTARES,0.951219512,0.348837209,0.822580645,0.981308411,0.97107438,0.888888889,0.748614849,0.598848369,0.596177559,0.756521739,0.97107438,0.263333333,0.263285024,0.670989232,0.6875,0.5,0.555555556,0.73556526,0.810746553,0.824420677,0.495910781,0.550724638,0.851851852,0.762,0.672672673,0.588211216,0.676392573,0.750640478,0.755784062,0.813953488,0.357142857,0.79812398,0.013469985,0.139280125,0.634755463,0.75,0.153153153,0.792,0.813,0.484848485,0.761904681,0.358974359,0.358974359,0.311111111,0.153846154,0.0,0.0
sterling,0.670731707,0.302325581,0.696774194,0.61682243,0.555785124,0.666666667,0.312648409,0.251439539,0.285758323,0.617391304,0.555785124,0.146666667,0.13647343,0.329393972,0.1875,0.444444444,0.5,0.329451722,0.458868283,0.272727273,0.142750929,0.647342995,0.62962963,0.782,0.528528529,0.314162914,0.337627889,0.294619983,0.251928021,0.279069767,0.071428571,0.143964111,0.267349927,0.037558685,0.327783559,0.201923077,0.063063063,0.561333333,0.509,0.151515152,0.738095177,0.307692308,0.307692308,0.288888889,0.307692308,0.0,0.0
SENSEi,0.902439024,0.046511628,0.903225806,0.76635514,0.671487603,0.777777778,0.606933671,0.186180422,0.420622688,0.913043478,0.671487603,0.13,0.22826087,0.589360096,0.25,0.388888889,0.5,0.639980592,0.926771279,0.58912656,0.220074349,0.956521739,0.790123457,0.748,0.546546547,0.521489971,0.645699128,0.606319385,0.491002571,0.372093023,0.142857143,0.181076672,0.665885798,0.109546166,0.580645161,0.432692308,0.09009009,0.793333333,0.811,0.666666667,0.738095177,0.679487179,0.679487179,0.644444444,0.769230769,0.0,0.0
DANK1NG,0.865853659,0.255813953,0.777419355,0.85046729,0.743801653,0.851851852,0.268956783,0.262955854,0.204839704,0.8,0.743801653,0.076666667,0.099033816,0.247538088,0.1875,0.444444444,0.5,0.272683164,0.577270566,0.278966132,0.139776952,0.68115942,0.827160494,0.736,0.618618619,0.214285714,0.264873058,0.260461144,0.241645244,0.302325581,0.071428571,0.092373573,0.26852123,0.082942097,0.277835588,0.096153846,0.108108108,0.738666667,0.711,0.545454545,0.738095177,0.205128205,0.205128205,0.222222222,0.307692308,0.2,0.0
dev1ce,0.987804878,0.255813953,0.916129032,0.990654206,0.857438017,0.925925926,0.052556593,0.291746641,0.036991369,0.843478261,0.857438017,0.2,0.016908213,0.046866462,0.5,0.444444444,0.611111111,0.052401747,0.445078459,0.057040998,0.020074349,1.0,0.950617284,0.738,0.633633634,0.037863283,0.04812429,0.057216055,0.051413882,0.034883721,0.0,0.026916803,0.040702782,0.007824726,0.058272633,0.028846154,0.045045045,0.8,0.8,0.181818182,0.738095177,0.038461538,0.038461538,0.088888889,0.0,0.0,0.0
try,0.780487805,0.209302326,0.764516129,0.710280374,0.592975207,0.722222222,0.340351433,0.211132438,0.277435265,0.730434783,0.592975207,0.123333333,0.132850242,0.342885454,0.125,0.5,0.5,0.353954391,0.567760342,0.329768271,0.173234201,0.647342995,0.716049383,0.72,0.525525526,0.31784691,0.354300872,0.33646456,0.254498715,0.337209302,0.214285714,0.116231648,0.364568082,0.051643192,0.299687825,0.211538462,0.081081081,0.685333333,0.694,0.242424242,0.738095177,0.243589744,0.243589744,0.288888889,0.153846154,0.2,0.0
