idx,x,y,type
0,-1570,450,path
1,-1480,200,path
2,-1260,200,path
3,-1260,500,path
4,-760,500,path
5,-570,500,path
6,-760,700,path
7,-570,700,path
8,-470,850,path
9,110,850,path
10,110,1100,path
11,110,1280,path
12,230,1280,path
13,110,1370,path
14,-30,1370,path
15,220,1600,path
16,315,1800,path
17,410,2000,path
18,770,2000,path
19,770,2200,path
20,770,2450,path
21,770,2700,path
22,770,2900,path
23,625,2770,path
24,210,2630,path
25,210,2920,path
26,480,2630,path
27,480,2920,path
28,480,3150,path
29,480,3400,path
30,700,3400,path
31,950,3400,path
32,950,3150,path
33,700,3150,path
34,1180,3150,path
35,950,2700,path
36,1180,2700,path
37,1180,2820,path
38,1650,2820,path
39,1650,2550,path
40,1650,2300,path
41,1650,2080,path
42,1650,1870,path
43,1650,1650,path
44,1960,1870,path
45,2330,1870,path
46,1820,1650,path
47,2100,1650,path
48,2330,1650,path
49,1960,2300,path
50,2330,2300,path
51,1960,2420,path
52,1820,2550,path
53,2100,2550,path
54,1960,2680,path
55,2330,2080,path
56,1960,2820,path
57,1820,1280,path
58,1820,1120,path
59,1630,1120,path
60,1435,1120,path
61,2330,1480,path
62,2550,1480,path
63,2550,1300,path
64,2550,1120,path
65,2280,1120,path
66,2050,1120,path
67,1435,900,path
68,1435,700,path
69,1435,500,path
70,1435,310,path
71,1435,0,path
72,1630,0,path
73,1820,0,path
74,2050,0,path
75,2280,0,path
76,2280,170,path
77,2280,370,path
78,2280,570,path
79,2280,770,path
80,2280,970,path
81,2470,170,path
82,2470,470,path
83,2550,470,path
84,2600,250,path
85,2550,80,path
86,2280,-200,path
87,2280,-430,path
88,2530,-400,path
89,2530,-100,path
90,1220,310,path
91,1220,10,path
92,1070,10,path
93,1070,-125,path
94,1070,-220,path
95,1220,-160,path
96,1220,-330,path
97,1550,-330,path
98,1870,-330,path
99,1870,-190,path
100,1985,-190,path
101,2070,-190,path
102,2070,-370,path
103,2100,-455,path
104,1220,-630,path
105,900,-630,path
106,900,-125,path
107,1140,500,path
108,835,500,path
109,900,300,path
110,900,90,path
111,770,300,path
112,770,90,path
113,770,-125,path
114,900,-450,path
115,900,-255,path
116,600,580,path
117,360,580,path
118,110,580,path
119,110,700,path
120,285,700,path
121,285,500,path
122,285,300,path
123,285,100,path
124,310,-125,path
125,540,-125,path
126,330,-270,path
127,840,-680,path
128,560,-680,path
129,330,-680,path
130,330,-470,path
131,50,-125,path
132,-250,-125,path
133,-550,-125,path
134,-760,-125,path
135,-760,100,path
136,-760,290,path
137,-570,290,path
138,-570,100,path
139,-390,100,path
140,-390,20,path
141,-390,-300,path
142,-390,-470,path
143,0,-470,path
144,-970,-310,path
145,-1480,-150,path
146,-1250,-150,path
147,-1250,-310,path
148,-180,850,path
149,-390,290,path
150,-200,290,path
151,-200,130,path
152,-10,290,path
153,-10,80,path
154,200,80,path
155,2080,560,path
156,2080,370,path
157,1840,560,path
158,30,3130,path
159,2000,670,path
200,490,2100,action
201,730,1900,action
202,470,2500,action
203,270,2500,action
204,30,2630,action
205,30,2940,action
206,350,3130,action
207,1420,1200,action
208,625,2950,action
209,2160,170,action
210,2060,170,action
211,1980,280,action
212,1840,220,action
213,1840,430,action
214,1930,510,action
215,2440,940,action
216,1390,-90,action
217,1570,-90,action
218,1840,670,action
219,2470,250,action
220,1030,2660,action
