nodeId,x,y,type,posName
0,-1570,450,path,t_spawn
1,-1480,200,path,t_spawn
2,-1260,200,path,t_spawn
3,-1260,500,path,t_spawn
4,-760,500,path,t_ramp
5,-570,500,path,t_ramp
6,-760,700,path,t_ramp
7,-570,700,path,t_ramp
8,-470,850,path,t_ramp
9,110,850,path,t_ramp
10,110,1100,path,banana
11,110,1280,path,banana
12,230,1280,path,banana
13,110,1370,path,banana
14,-30,1370,path,banana
15,220,1600,path,banana
16,315,1800,path,banana
17,410,2000,path,banana
18,770,2000,path,banana
19,770,2200,path,b_entrance
20,770,2450,path,b_entrance
21,770,2700,path,ct
22,770,2900,path,b_entrance
23,625,2770,path,b_entrance
24,210,2630,path,b
25,210,2920,path,b
26,480,2630,path,b
27,480,2920,path,b
28,480,3150,path,b
29,480,3400,path,construction
30,700,3400,path,construction
31,950,3400,path,construction
32,950,3150,path,construction
33,700,3150,path,construction
34,1180,3150,path,construction
35,950,2700,path,ct
36,1180,2700,path,ct
37,1180,2820,path,ct
38,1650,2820,path,ct
39,1650,2550,path,corridor
40,1650,2300,path,corridor
41,1650,2080,path,corridor
42,1650,1870,path,corridor
43,1650,1650,path,corridor
44,1960,1870,path,connector
45,2330,1870,path,ct_spawn
46,1820,1650,path,connector
47,2100,1650,path,ct_spawn
48,2330,1650,path,library
49,1960,2300,path,ct_spawn
50,2330,2300,path,ct_spawn
51,1960,2420,path,ct_spawn
52,1820,2550,path,ct_spawn
53,2100,2550,path,ct_spawn
54,1960,2680,path,ct_spawn
55,2330,2080,path,ct_spawn
56,1960,2820,path,ct
57,1820,1280,path,connector
58,1820,1120,path,a_long
59,1630,1120,path,a_long
60,1435,1120,path,a_long
61,2330,1480,path,library
62,2550,1480,path,library
63,2550,1300,path,library
64,2550,1120,path,library
65,2280,1120,path,a_long
66,2050,1120,path,a_long
67,1435,900,path,top_mid
68,1435,700,path,top_mid
69,1435,500,path,top_mid
70,1435,310,path,top_mid
71,1435,0,path,short
72,1630,0,path,short
73,1820,0,path,short
74,2050,0,path,a
75,2280,0,path,a
76,2280,170,path,a
77,2280,370,path,a
78,2280,570,path,a
79,2280,770,path,a
80,2280,970,path,a_long
81,2470,170,path,graveyard
82,2470,470,path,graveyard
83,2550,470,path,graveyard
84,2600,250,path,graveyard
85,2550,80,path,graveyard
86,2280,-200,path,pit
87,2280,-430,path,pit
88,2530,-400,path,pit
89,2530,-100,path,pit
90,1220,310,path,aps
91,1220,10,path,aps
92,1070,10,path,aps
93,1070,-125,path,aps
94,1070,-220,path,aps
95,1220,-160,path,aps
96,1220,-330,path,aps
97,1550,-330,path,aps
98,1870,-330,path,aps
99,1870,-190,path,aps
100,1985,-190,path,balcony
101,2070,-190,path,balcony
102,2070,-370,path,balcony
103,2100,-455,path,pit
104,1220,-630,path,aps
105,900,-630,path,sec_mid_aps
106,900,-125,path,aps
107,1140,500,path,mid
108,835,500,path,mid
109,900,300,path,stairs
110,900,90,path,mid
111,770,300,path,sec_mid
112,770,90,path,sec_mid
113,770,-125,path,sec_mid
114,900,-450,path,sec_mid
115,900,-255,path,sec_mid
116,600,580,path,mid
117,360,580,path,mid
118,110,580,path,mid
119,110,700,path,
120,285,700,path,under
121,285,500,path,
122,285,300,path,under
123,285,100,path,under
124,310,-125,path,sec_mid
125,540,-125,path,sec_mid
126,330,-270,path,sec_mid
127,840,-680,path,sec_mid_aps
128,560,-680,path,sec_mid_aps
129,330,-680,path,sec_mid_aps
130,330,-470,path,sec_mid_aps
131,50,-125,path,sec_mid
132,-250,-125,path,sec_mid
133,-550,-125,path,sec_mid
134,-760,-125,path,sec_mid
135,-760,100,path,sec_mid
136,-760,290,path,t_ramp
137,-570,290,path,t_aps
138,-570,100,path,t_aps
139,-390,100,path,t_aps
140,-390,20,path,t_aps
141,-390,-300,path,sec_mid_aps
142,-390,-470,path,sec_mid_aps
143,0,-470,path,sec_mid_aps
144,-970,-310,path,t_spawn
145,-1480,-150,path,t_spawn
146,-1250,-150,path,t_spawn
147,-1250,-310,path,t_spawn
148,-180,850,path,t_ramp
149,-390,290,path,t_aps
150,-200,290,path,t_aps
151,-200,130,path,t_aps
152,-10,290,path,t_aps
153,-10,80,path,t_aps
154,200,80,path,t_aps
155,2080,560,path,a
156,2080,370,path,a
157,1840,560,path,a
158,30,3130,path,b
159,2000,670,path,a
160,490,2100,action,banana
161,730,1900,action,banana
162,470,2500,action,b
163,270,2500,action,b
164,30,2630,action,b
165,30,2940,action,b
166,350,3130,action,b
167,1420,1200,action,a_long
168,625,2950,action,b
169,2160,170,action,a
170,2060,170,action,a
171,1980,280,action,a
172,1840,220,action,a
173,1840,430,action,a
174,1930,510,action,a
175,2440,940,action,a_long
176,1390,-90,action,short
177,1570,-90,action,short
178,1840,670,action,a
179,2470,250,action,graveyard
180,1030,2660,action,ct
