Error while scraping https://www.hltv.org/stats/players/11847/texta?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14087/jamppi?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13238/ptc?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11264/wardell?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/5021/swag?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12271/moose?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13249/osee?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8370/mixwell?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14505/ekul?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9042/ryx?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7390/scream?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11139/alistair?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7256/nex?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13679/nukkye?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/3543/djoxic?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/5799/keev?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9255/draken?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7810/shahzam?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11586/dapr?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9218/xand?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13138/maka?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10587/infrequent?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/15821/neofrag?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19926/afro?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7154/pimp?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8349/shroud?startDate=2021-01-01&endDate=2021-12-31, skipping file
